"animal","log_SLA","se_log_SLA","N","se_N","d13C","se_d13C"
"Eucalyptus_diminuta",1.34639267735875,0.131853151156914,12,1.95528,-28.09,1.045
"Eucalyptus_diptera",1.20267385045052,0.152232299285618,9.8,1.95528,-28.12,1.045
"Eucalyptus_discreta",0.850877571284323,0.216416310937006,9,1.95528,-27.41,1.045
"Eucalyptus_dissimulata",1.05155675665404,0.177066387482997,11.5,1.95528,-28.23,1.045
"Eucalyptus_diversicolor",1.72280927754459,0.101881542699942,12.38571429,0.51150039399909,-27.61857143,0.489175343825507
"Eucalyptus_dolichocera",0.985747313004503,0.18911100608456,10.3,1.95528,-27.51,1.045
"Eucalyptus_dolichorhyncha",0.693991979117136,0.253177167464865,6,1.95528,-28,1.045
"Eucalyptus_dorotoxylon",1.69827262613459,0.0927408332108784,13.5,1.95528,-27.06,1.045
"Eucalyptus_dumosa",0.978775994894249,0.0147083913176353,9.196210526,0.325093702901731,-25.91486667,0.641407268780487
"Eucalyptus_dundasii",1.37253494933273,0.0851338313506725,8.9,1.95528,-27.23,1.045
"Eucalyptus_dunnii",1.86872119925283,0.0423407749425081,16.34,4.07,-29.85,0.479999999999999
"Eucalyptus_dura",1.58122762783379,0.0318413798112536,10.39290718,0.221558452807578,-31.88,1.045
"Eucalyptus_dwyeri",1.36085096909641,0.0167007664612335,11.8,1.95528,-27.33,1.045
"Eucalyptus_elata",2.18844072568491,0.199311196697288,14.21360967,1.71836552491383,-28.66666667,1.45618603817568
"Eucalyptus_eremophila",0.850433498417575,0.216512436890499,13.7,1.95528,-25.65,1.045
"Eucalyptus_eugenioides",2.14062344465686,0.0574919623768058,15.3,1.95528,-29.37,1.045
"Eucalyptus_ewartiana",1.02110388307539,0.0406190014516747,11.15042392,0.381209683509282,-26.91570041,0.347040513591102
"Eucalyptus_exigua",1.03853118557694,0.0470128986118324,11.15,0.95,-26.745,1.155
"Eucalyptus_exilipes",1.6994989179427,0.0167185323783827,9.832881129,0.222476726018148,-30.19,1.045
"Eucalyptus_exilis",1.29579440529086,0.138696360118732,11.1,1.95528,-26.71,1.045
"Eucalyptus_falcata",1.05858380041902,0.0121997641094107,8.15,0.0499999999999998,-27.125,0.504999999999999
"Eucalyptus_famelica",0.971837593305245,0.191759866918709,9.2,1.95528,-28.79,1.045
"Eucalyptus_fasciculosa",1.42774507299596,0.0161622561832173,13.84111205,1.84476266761579,-28.75333333,0.277208305150558
"Eucalyptus_fastigata",1.75577014778041,0.0833272612779813,13.94,2.8101660686396,-29.53,0.0999999999999996
"Eucalyptus_flindersii",1.28734173656064,0.0684080061851978,13.76860352,1.95528,-24.88,1.045
"Eucalyptus_flocktoniae_flocktoniae",0.841347725822804,0.0370335919017691,9.581818182,0.288827781910442,-25.82181818,0.30654324381819
"Eucalyptus_foecunda",1.19307243396211,0.0892252289643783,10.75,0.85,-28.38,1.045
"Eucalyptus_foliosa",0.848115815484991,0.217014826034656,9.2,1.95528,-27.04,1.045
"Eucalyptus_formanii",1.17807608819127,0.0470127402160669,13.2075,0.790945246735407,-26.20333333,0.566348930528796
"Eucalyptus_forrestiana",0.88497843318792,0.209160741875952,8,1.95528,-27.36,1.045
"Eucalyptus_fraxinoides",1.32870096983803,0.0909526267718172,11.41333333,1.61746028630621,-28.09333333,0.388344062798842
"Eucalyptus_froggattii",0.911232743791815,0.01402946906916,7.5,1.95528,-27.14,1.045
"Eucalyptus_fruticosa",1.33081089811923,0.133923747746256,13.8,1.95528,-28.33,1.045
"Eucalyptus_fulgens",1.70624947278421,0.0920039965298802,13.3,1.95528,-29.26,1.045
"Eucalyptus_fusiformis",1.96698415855882,0.0413964398182432,12.6,1.95528,-29.08,1.045
"Eucalyptus_gillenii",1.53073056665121,0.0798088303922685,12,3.7,-28.025,0.575000000000001
"Eucalyptus_gillii",0.684201368838455,0.255668100422331,10.8,1.95528,-27.68,1.045
"Eucalyptus_globoidea",2.33290025378453,0.163692016209672,8.513333333,0.827553287978753,-26.92,1.045
"Eucalyptus_globulus_globulus",1.6534513880843,0.112336960595001,11.7,1.08,-28.92,0.220000000000001
"Eucalyptus_glomerosa",1.39139977453948,0.0664780392237502,14.6,1.95528,-25.51,1.045
"Eucalyptus_gomphocephala",1.41206631223433,0.0485461704382413,13.08888889,0.436668080291746,-27.13444444,0.198998262911954
"Eucalyptus_goniocalyx_goniocalyx",1.2620587159901,0.0189991680824596,11.50770609,1.95528,-29.29,1.045
"Eucalyptus_goniocarpa",0.9504694176513,0.195901517609898,8.8,1.95528,-27.21,1.045
"Eucalyptus_gracilis",1.05386719426152,0.0417109006000622,11.66666667,0.993870101058372,-28.73,1.045
"Eucalyptus_grandis",1.92453257357051,0.0539547300192707,16.25833333,1.16692306706331,-29.2425,0.706545292249548
"Eucalyptus_granitica",1.51404310154867,0.0253375073742425,11.08483159,0.148148874781569,-28.94,1.045
"Eucalyptus_griffithsii",1.0913941252939,0.17015118479109,12.9,1.95528,-26.51,1.045
"Eucalyptus_grisea",1.8368320072953,0.0807412407178451,12.6,1.95528,-30.08,1.045
"Eucalyptus_grossa",0.744205634024525,0.240778122380924,8.8,1.95528,-26.15,1.045
"Eucalyptus_gypsophila",0.964936266918633,0.0435961229281701,9.4,0.986576572463249,-27.39333333,0.620922253139992
"Eucalyptus_haemastoma",1.38574364275236,0.0358425997831332,9.2423324,0.291593731585306,-29.13684,0.913481179663818
"Eucalyptus_hallii",1.29583666529879,0.0352100380007808,8.9,1.95528,-29.66,1.045
"Eucalyptus_halophila",0.966176683258946,0.192848480640872,9.6,1.95528,-27.58,1.045
"Eucalyptus_hebetifolia",1.43244035803441,0.127178651353864,9.1,1.95528,-26.43,1.045
"Eucalyptus_histophylla",0.846781760087495,0.0756001827102725,9.25,1.25,-25.62,0.439999999999999
"Eucalyptus_horistes",1.22579222945863,0.0139654920136391,11.40466667,0.820897137960117,-26.56333333,0.852571274309531
"Eucalyptus_hypolaena",0.579800679974251,0.283803134512171,9.8,1.95528,-27.21,1.045
"Eucalyptus_impensa",0.589086733335698,0.281179921956941,5.7,1.95528,-28.14,1.045
"Eucalyptus_incerata",0.741491795963456,0.0142609029886358,10.05,0.0499999999999998,-24.94,0.25
"Eucalyptus_incrassata",0.893084247118572,0.0164198616529585,8.466666667,0.56489920438173,-28.02,0.44410959608337
"Eucalyptus_indurata",1.14051387813597,0.0979950878328027,8.3,1.95528,-24.57,1.045
"Eucalyptus_infera",1.44486660483675,0.119487872945598,14.5,1.95528,-28.22,1.045
"Eucalyptus_insularis",1.76132631535584,0.0583804596150237,13.4,1.95528,-28.33,1.045
"Eucalyptus_interstans",1.61167563945441,0.0711728666239536,12.3,2.2,-28.62,0.140000000000001
"Eucalyptus_intertexta",1.46097057597172,0.0381019803126785,13.49739947,0.809117315048999,-26.80562196,0.328191954641981
"Eucalyptus_jacksonii",1.69793035876553,0.00884555607829926,11.6,0.0999999999999996,-28.485,0.625
"Eucalyptus_kitsoniana",1.75730260080636,0.0226405564001329,19.6,1.95528,-27.3,1.045
"Eucalyptus_kondininensis",1.21237090921828,0.104775086225055,10.6,1.95528,-29.02,1.045
"Eucalyptus_kruseana",1.24311865438858,0.146198141477595,10.5,1.95528,-26.77,1.045
"Eucalyptus_kumarlensis",1.03339991494287,0.180310718122204,9.3,1.95528,-28.45,1.045
"Eucalyptus_lacrimans",0.932788507295623,0.199396036886329,18.3,1.95528,-27.34,1.045
"Eucalyptus_langleyi",0.915747517559971,0.202823059702337,12.9,1.95528,-25.73,1.045
"Eucalyptus_lansdowneana",1.09608966452565,0.0184348577294112,11.8,1.95528,-27.7,1.045
"Eucalyptus_largiflorens",1.30321590649667,0.0301923562048402,10.65,1.35,-28.84,1.045
"Eucalyptus_latens",0.880246195853775,0.0590327098237787,8.6,0.3,-26.69666667,0.186577359588754
"Eucalyptus_leptophylla",1.17766691511936,0.0172786735868959,13.2,1.95528,-27.31,1.045
"Eucalyptus_leptopoda_leptopoda",0.932181141121141,0.0379912559252997,11.16666667,0.569600249687836,-26.59,0.30610455730028
"Eucalyptus_lesouefii",0.929883701838706,0.0317270264018844,10.97894741,0.934821630276001,-26.05434733,0.463101330113071
"Eucalyptus_limitaris",1.15600349663163,0.0180634377353859,12.506,0.919,-27.805,1.155
"Eucalyptus_litorea",1.15239178002179,0.160082564363613,9,1.95528,-28.21,1.045
"Eucalyptus_livida",1.00117917242801,0.0416871685827681,8.975,0.502286438863988,-26.415,0.463222408784377
"Eucalyptus_lockyeri",1.633753309107,0.0520570114131811,12,1.95528,-29.24,1.045
"Eucalyptus_longicornis",1.15654207860619,0.0172830926261464,12.52845455,0.325899353220825,-26.47454545,0.293574719113345
"Eucalyptus_loxophleba_loxophleba",1.19512275783686,0.0948474564955131,13.63333333,0.536449231314369,-27.16666667,0.358995512197266
"Eucalyptus_lucasii",1.20144643263473,0.0474842626993879,15.65454545,0.629193370531398,-26.20818182,0.331935969131557
"Eucalyptus_lucens",1.35812294032448,0.0554909821136991,15.4,1.95528,-26.65,1.045
"Eucalyptus_macrandra",1.46130115738874,0.0522042482863531,10.9,1.95528,-26.83,1.045
"Eucalyptus_magnificata",1.62398691140364,0.0642131867995712,14,1.95528,-28.68,1.045
"Eucalyptus_marginata_marginata",1.47260074426391,0.0435700086896757,11.84444444,0.608301622714859,-27.10444444,0.250028393449353
"Eucalyptus_megacarpa",1.61240431311389,0.0758213597694528,10.7,1.95528,-28.71,1.045
"Eucalyptus_megacornuta",1.33865880929151,0.0140601667429,10,1.95528,-27.65,1.045
"Eucalyptus_melanophitra",1.42459870790311,0.0374575933596021,8.6,1.95528,-27.77,1.045
"Eucalyptus_melanoxylon",1.0869339849594,0.170911777868407,10.4,1.95528,-27.89,1.045
"Eucalyptus_melliodora",1.72328689504156,0.0192366463073709,14.5,1.60147848356865,-29.5,0.705005910140712
"Eucalyptus_merrickiae",0.903761633901367,0.205268700604257,12.2,1.95528,-26.94,1.045
"Eucalyptus_michaeliana",1.69797582539126,0.0256317477686478,18.2,1.95528,-27.82,1.045
"Eucalyptus_micranthera",0.897629768112085,0.206531247655684,8.7,1.95528,-26.91,1.045
"Eucalyptus_microcarpa",1.35723548354019,0.0221136275790594,11.7,2,-29.59,1.045
"Eucalyptus_minniritchi",1.06975501184006,0.173873231239172,11.4,1.95528,-29.87,1.045
"Eucalyptus_misella",1.23362850294084,0.147592188377045,13.8,1.95528,-28.75,1.045
"Eucalyptus_moderata",0.997553873837783,0.0696766722144424,12.49625,0.77224460449178,-27.3675,0.192023219082138
"Eucalyptus_moluccana",1.5389378230218,0.0183682200283783,12.00827273,0.469743718382962,-28.01,1.045
"Eucalyptus_morrisii",1.2073528841146,0.0141427997238355,11.2,1.95528,-27.43,1.045
"Eucalyptus_muelleriana",1.6155386790552,0.0575764849738444,11.53,1.73500240153532,-29.975,0.0250000000000004
"Eucalyptus_myriadena",1.29096003372402,0.0695883299137391,11.93566667,1.04379281681972,-27.26,0.719235705454061
"Eucalyptus_neutra",0.961114843166773,0.193827123589367,12.8,1.95528,-27.44,1.045
"Eucalyptus_nicholii",3.17232026441112,0.0316702865789582,15,1.95528,-27.94,1.045
"Eucalyptus_nitens",1.53381406690928,0.0840617171739371,15.59,2.51,-29.025,0.825000000000001
"Eucalyptus_normantonensis",1.21306164667967,0.0563191711381179,11.1,1.7,-27.69,0.290000000000001
"Eucalyptus_nortonii",1.45988643666827,0.0818997139728384,12.9,1.95528,-29.85,1.045
"Eucalyptus_obconica",1.60210555810592,0.102102369375956,13.328,1.95528,-28.27,1.045
"Eucalyptus_obesa",1.15985989568308,0.158891502287989,10.4,1.95528,-27.15,1.045
"Eucalyptus_obliqua",2.10944042716763,0.0700304194732883,12.64489598,0.561831619616137,-29.868,0.254496452714855
"Eucalyptus_obtusiflora",1.06173508308793,0.0585278018538105,11.668,0.43100232017937,-28.06666667,0.519272996067044
"Eucalyptus_occidentalis",1.05260231433686,0.0377739357582856,6.1,1.95528,-26.65,1.045
"Eucalyptus_oldfieldii",0.950148566234248,0.0470407553898772,12.63123547,0.161158992838705,-26.70805367,0.628234540356928
"Eucalyptus_oleosa_oleosa",0.997415784800688,0.0214865672942781,15.854,1.95528,-24.52,1.045
"Eucalyptus_olivina",2.12111717486691,0.0607619830466022,11.3,1.95528,-25.39,1.045
"Eucalyptus_optima",0.978144184815326,0.0955455987062025,9.3,1.95528,-25.92,1.045
"Eucalyptus_oraria",1.12597290903964,0.16436812556378,8.6,1.95528,-28.84,1.045
"Eucalyptus_orbifolia",1.29854095407586,0.0175613487095375,12.8,1.95528,-28.58,1.045
"Eucalyptus_oreades",1.35583515363518,0.0438144329896907,14.495,0.165,-29.29,0.390000000000001
"Eucalyptus_orgadophila",1.73581316301817,0.0104018589758811,14,1.95528,-26.57,1.045
"Eucalyptus_ornata",1.08612924196285,0.171049373281722,10.5,1.95528,-27.11,1.045
"Eucalyptus_ovata",1.41768720547752,0.0208824869890256,15,1.95528,-28.55,1.045
"Eucalyptus_oxymitra",0.923520650114554,0.0236847915733491,9.43125,0.329104688257906,-26.83214286,0.153136363032718
"Eucalyptus_pachyphylla",0.866657115879218,0.213028162132202,8.3,1.95528,-26.2,1.045
"Eucalyptus_paliformis",1.44313826006077,0.119694567755091,14.6,1.95528,-26.24,1.045
"Eucalyptus_paludicola",1.33205997305858,0.133756571378804,13,1.95528,-28.1,1.045
"Eucalyptus_paniculata",1.97647659574112,0.0899263924511234,11.514,1.12319900284856,-29.63202,0.722097209799346
"Eucalyptus_patellaris",1.52388002407245,0.110410083459879,9.472571429,0.528540031242526,-29.87333333,0.246936789032695
"Eucalyptus_patens",1.60991246641555,0.0451771361999672,12.8,1.02469507659596,-28.2,0.577436865235788
"Eucalyptus_perangusta",1.00127875559779,0.186196530938469,9.5,1.95528,-26.66,1.045
"Eucalyptus_percostata",1.30965488317678,0.163806952254291,9.9,1.95528,-28.64,1.045
"Eucalyptus_petiolaris",1.40326000302491,0.0483267991439451,16.5,1.95528,-26.24,1.045
"Eucalyptus_petraea",1.26110980340326,0.0357408433506869,13.3,1.95528,-26.95,1.045
"Eucalyptus_petrensis",1.3358405950193,0.0574945960821034,9.5,1.95528,-27.53,1.045
"Eucalyptus_pilbarensis",1.1766702196672,0.156242809719851,10,1.95528,-27.41,1.045
"Eucalyptus_pileata",0.839563533586656,0.0163827273897993,9.98,0.710914903487049,-25.888,0.603460023530971
"Eucalyptus_pimpiniana",0.73717102384725,0.242477874147177,10.3,1.95528,-29.01,1.045
"Eucalyptus_planchoniana",1.70378631715374,0.0231630989936497,9.1,1.95528,-23.84,1.045
"Eucalyptus_platydisca",0.917012833895725,0.202566586665608,8.9,1.95528,-26.28,1.045
"Eucalyptus_platyphylla",2.83746785196522,0.0529264983723976,14.124355,0.789128412009341,-27.731,1.045
"Eucalyptus_polita",1.05932541039263,0.110438740218933,9,1.95528,-25.37,1.045
"Eucalyptus_polybractea",1.30767265313956,0.0342356131813033,12.3,1.95528,-28.62,1.045
"Eucalyptus_populnea",1.55795557259964,0.0513520032607279,12.73283333,0.377718626905149,-25.922,0.672565238471332
"Eucalyptus_porosa",1.35262719223304,0.0185021921409907,17.7,1.95528,-28.31,1.045
"Eucalyptus_praetermissa",1.30082005858947,0.101432533068533,7.6,1.95528,-27.01,1.045
"Eucalyptus_prava",1.67264042031578,0.0951487131405357,17.1,1.95528,-27.87,1.045
"Eucalyptus_prominens",1.13328706320771,0.163170297642131,11.6,1.95528,-26.42,1.045
"Eucalyptus_propinqua",1.77831135128367,0.206061155361861,15.2,1.95528,-28.11,1.045
"Eucalyptus_protensa",2.00371226792669,0.0683313879817444,11.1,1.95528,-27.39,1.045
"Eucalyptus_pruiniramis",0.914462940881454,0.203083768889316,9.1,1.95528,-24.96,1.045
"Eucalyptus_pruinosa_pruinosa",1.39158912607974,0.0255888161610624,9.728,1.361,-27.435,0.465
"Eucalyptus_pterocarpa",0.948440939735488,0.0211777804226941,7.9,1.95528,-25.78,1.045
"Eucalyptus_pulverulenta",1.45401257931472,0.118400022219808,12.6,1.95528,-28.6,1.045
"Eucalyptus_pumila",1.52002369077859,0.0944230511906557,10,1.95528,-26.3,1.045
"Eucalyptus_pyriformis",1.07169394272825,0.0394564230476953,8.4,1.95528,-28.24,1.045
"Eucalyptus_quadrangulata",1.94467926039402,0.180517970465753,12.14666667,1.98469421098342,-30.34666667,1.21932130484317
"Eucalyptus_quadrans",1.18195853303517,0.155418729697794,12.5,1.95528,-28.37,1.045
"Eucalyptus_quaerenda",0.877410259296484,0.210749711958364,10.5,1.95528,-26.64,1.045
"Eucalyptus_racemosa",1.62584534669745,0.0256635560624899,10.95909091,0.794664542770841,-30.06325,0.975948374232298
"Eucalyptus_ravida",1.00448816175823,0.0502304598442871,11.40167019,0.279325629961622,-24.84491412,0.556026076878163
"Eucalyptus_recta",1.03263048970599,0.180449507126242,8.1,1.95528,-25.89,1.045
"Eucalyptus_redunca",1.23884774790197,0.018205444424597,13.4,1.95528,-27.96,1.045
"Eucalyptus_regnans",1.65906585737672,0.0614402462674813,15.08428571,1.38386081247332,-30.19,1.10936919012563
"Eucalyptus_remota",1.40959336015501,0.0325156088037672,9.8,1.95528,-28.52,1.045
"Eucalyptus_resinifera_resinifera",1.53596347392478,0.0182034306142279,13.4,1.95528,-28.935,1.005
"Eucalyptus_rhodantha",0.135244044199205,0.663635859455892,6.3,1.95528,-27.68,1.045
"Eucalyptus_rigens",0.8457801353679,0.217522295661594,8.2,1.95528,-27.45,1.045
"Eucalyptus_rigidula",0.967674190356801,0.0453241161273,9.947785714,0.333372084940039,-27.13357143,0.261285089431417
"Eucalyptus_rosacea",1.44103394851192,0.0248360939300582,15.4,1.95528,-26.6,1.045
"Eucalyptus_rudis",1.73514518379398,0.0307472019704852,17.1,1.95528,-27.78,1.045
"Eucalyptus_salicola",1.17289428386942,0.102917793230641,12.7,1.6,-28.03,0.83
"Eucalyptus_saligna",3.29845674667352,0.0297176910998007,27.12092105,1.44849333474436,-29.217,0.351798711386687
"Eucalyptus_salmonophloia",1.30359408469503,0.0217446713380647,13.65145238,0.305888409663603,-26.14809524,0.193264707501222
"Eucalyptus_salubris",1.1997482905197,0.021521270284289,11.38557778,0.273575527378996,-24.908,0.194595306555254
"Eucalyptus_scyphocalyx",0.97933208581603,0.190328095932252,9.3,1.95528,-27.96,1.045
"Eucalyptus_sepulcralis",1.18779424740649,0.154514391678987,12.4,1.95528,-25.96,1.045
"Eucalyptus_sessilis",0.998251142348923,0.0169403390251348,9.5,1.95528,-28.67,1.045
"Eucalyptus_siderophloia",1.74014591268486,0.0265265596894776,12.418408,0.200438258212396,-30.89,1.045
"Eucalyptus_sieberi",1.47227616592776,0.0733263401057083,11.7592,1.05549544764532,-28.83666667,0.409159029120843
"Eucalyptus_smithii",1.70349516365111,0.0922479749016008,15.24333333,1.7628228624693,-29.79666667,0.739421695951942
"Eucalyptus_sparsa",1.17568619102776,0.0133831985875551,15.9,1.95528,-26.02,1.045
"Eucalyptus_sparsifolia",1.23074078419251,0.076190110614224,8.666666665,2.066666665,-25.7125,0.327499999999999
"Eucalyptus_spreta",0.948249522905215,0.196336881411711,11.2,1.95528,-26.66,1.045
"Eucalyptus_staeri",1.31544710301681,0.0407161714875554,7,1.95528,-27.24,1.045
"Eucalyptus_steedmanii",0.994131391958007,0.10536506163989,9.55,0.45,-26.375,0.965
